


Starting Balance: $1000.00
Annual Interest Rate: 0.04
Monthly Payment: $120.00

Payment     Amount     Interest     Principal     Balance
1           120.00     2.91         117.09        882.91
2           120.00     2.57         117.43        765.48
3           120.00     2.23         117.77        647.71
4           120.00     1.88         118.12        529.59
5           120.00     1.54         118.46        411.13
6           120.00     1.19         118.81        292.32
7           120.00     0.85         119.15        173.17
8           120.00     0.50         119.50        53.67
9           53.82      0.15         53.67         0.00 

Total Payments Made: 9
Total Interest Paid: $13.82





Starting Balance: $5000.00
Annual Interest Rate: 0.04
Monthly Payment: $165.00

Payment     Amount     Interest     Principal     Balance
1           165.00     16.66        148.34        4851.66
2           165.00     16.17        148.83        4702.83
3           165.00     15.67        149.33        4553.50
4           165.00     15.17        149.83        4403.67
5           165.00     14.67        150.33        4253.34
6           165.00     14.17        150.83        4102.51
7           165.00     13.67        151.33        3951.18
8           165.00     13.17        151.83        3799.35
9           165.00     12.66        152.34        3647.01
10          165.00     12.15        152.85        3494.16
11          165.00     11.64        153.36        3340.80
12          165.00     11.13        153.87        3186.93
13          165.00     10.62        154.38        3032.55
14          165.00     10.10        154.90        2877.65
15          165.00     9.59         155.41        2722.24
16          165.00     9.07         155.93        2566.31
17          165.00     8.55         156.45        2409.86
18          165.00     8.03         156.97        2252.89
19          165.00     7.50         157.50        2095.39
20          165.00     6.98         158.02        1937.37
21          165.00     6.45         158.55        1778.82
22          165.00     5.92         159.08        1619.74
23          165.00     5.39         159.61        1460.13
24          165.00     4.86         160.14        1299.99
25          165.00     4.33         160.67        1139.32
26          165.00     3.79         161.21        978.11
27          165.00     3.26         161.74        816.37
28          165.00     2.72         162.28        654.09
29          165.00     2.18         162.82        491.27
30          165.00     1.63         163.37        327.90
31          165.00     1.09         163.91        163.99
32          164.53     0.54         163.99        0.00 

Total Payments Made: 32
Total Interest Paid: $279.53





Starting Balance: $200000.00
Annual Interest Rate: 0.06
Monthly Payment: $2250.00

Payment     Amount     Interest     Principal     Balance
1           2250.00    916.66       1333.34       198666.66
2           2250.00    910.55       1339.45       197327.21
3           2250.00    904.41       1345.59       195981.62
4           2250.00    898.24       1351.76       194629.86
5           2250.00    892.05       1357.95       193271.91
6           2250.00    885.82       1364.18       191907.73
7           2250.00    879.57       1370.43       190537.30
8           2250.00    873.29       1376.71       189160.59
9           2250.00    866.98       1383.02       187777.57
10          2250.00    860.64       1389.36       186388.21
11          2250.00    854.27       1395.73       184992.48
12          2250.00    847.88       1402.12       183590.36
13          2250.00    841.45       1408.55       182181.81
14          2250.00    834.99       1415.01       180766.80
15          2250.00    828.51       1421.49       179345.31
16          2250.00    821.99       1428.01       177917.30
17          2250.00    815.45       1434.55       176482.75
18          2250.00    808.87       1441.13       175041.62
19          2250.00    802.27       1447.73       173593.89
20          2250.00    795.63       1454.37       172139.52
21          2250.00    788.97       1461.03       170678.49
22          2250.00    782.27       1467.73       169210.76
23          2250.00    775.54       1474.46       167736.30
24          2250.00    768.79       1481.21       166255.09
25          2250.00    762.00       1488.00       164767.09
26          2250.00    755.18       1494.82       163272.27
27          2250.00    748.33       1501.67       161770.60
28          2250.00    741.44       1508.56       160262.04
29          2250.00    734.53       1515.47       158746.57
30          2250.00    727.58       1522.42       157224.15
31          2250.00    720.61       1529.39       155694.76
32          2250.00    713.60       1536.40       154158.36
33          2250.00    706.55       1543.45       152614.91
34          2250.00    699.48       1550.52       151064.39
35          2250.00    692.37       1557.63       149506.76
36          2250.00    685.23       1564.77       147941.99
37          2250.00    678.06       1571.94       146370.05
38          2250.00    670.86       1579.14       144790.91
39          2250.00    663.62       1586.38       143204.53
40          2250.00    656.35       1593.65       141610.88
41          2250.00    649.04       1600.96       140009.92
42          2250.00    641.71       1608.29       138401.63
43          2250.00    634.34       1615.66       136785.97
44          2250.00    626.93       1623.07       135162.90
45          2250.00    619.49       1630.51       133532.39
46          2250.00    612.02       1637.98       131894.41
47          2250.00    604.51       1645.49       130248.92
48          2250.00    596.97       1653.03       128595.89
49          2250.00    589.39       1660.61       126935.28
50          2250.00    581.78       1668.22       125267.06
51          2250.00    574.14       1675.86       123591.20
